iter,bp,mode,cap,deep1_lat_s,phys_reads,consult_calls,hit,noncontig,construct_BAD,served,degraded
1,64M,0,1000,133.37307275,1474506,2000,2000,0,0,0,1
2,64M,0,1000,102.45582800,1105642,2000,2000,0,0,0,1
3,64M,0,1000,132.09853575,1519326,2000,1082,918,0,0,1
1,64M,1,1000,0.46808525,4091,2000,2000,0,0,1999,0
2,64M,1,1000,0.45574250,3958,2000,2000,0,0,1999,0
3,64M,1,1000,0.45254000,4059,2000,2000,0,0,1999,0
4,64M,1,1000,0.41766900,3814,2000,2000,0,0,1999,0
5,64M,1,1000,0.37876300,3953,2000,2000,0,0,1999,0
6,64M,1,1000,87.48795075,1010493,2000,1452,548,0,1451,1
7,64M,1,1000,0.42266950,4134,2000,2000,0,0,1999,0
8,64M,1,1000,121.19929275,1414042,2000,390,1610,0,390,1
1,4G,0,1000,1.10921100,0,2000,2000,0,0,0,0
2,4G,0,1000,1.10207275,0,2000,2000,0,0,0,0
1,4G,1,1000,0.46210025,0,2000,2000,0,0,1999,0
2,4G,1,1000,0.55323875,0,2000,2000,0,0,1999,0
3,4G,1,1000,0.41117725,0,2000,2000,0,0,1999,0
