iter,bp,mode,deep_stock_lat_s,deep_oline_lat_s,phys_reads,consult_calls,hit,hit_pct,construct_BAD,served,hll
1,4G,0,0.32196750,0.45954325,4253,264342,172112,65.1,0,0,19416
2,4G,0,0.31796775,0.37813000,4367,263288,170117,64.6,0,0,19513
3,4G,0,0.34002300,0.36399725,4348,258894,165587,64.0,0,0,19510
1,4G,1,0.25770050,0.27257725,4365,261115,166534,63.8,0,166372,15752
2,4G,1,0.25260550,0.26543250,4348,261265,169398,64.8,0,169233,19137
3,4G,1,0.22523525,0.25531650,4368,263578,171934,65.2,0,171767,19338
1,64M,0,1.27240075,0.84319250,266054,140153,91752,65.5,0,0,9099
2,64M,0,1.22932600,0.82621025,229313,146936,93595,63.7,0,0,10361
3,64M,0,1.42935375,0.93989400,247481,156477,102679,65.6,0,0,10636
1,64M,1,0.89857675,0.70793675,244855,159676,105499,66.1,0,105396,10625
2,64M,1,0.92861125,0.65296825,253428,139235,93636,67.3,0,93545,9192
3,64M,1,0.86347800,0.69856200,236390,162129,104886,64.7,0,104784,10680
