iter,bp,mode,deep1_lat_s,phys_reads,innodb_hll,cache_live_versions,consult_calls,hit,construct_BAD,served
1,64M,0,29.26802825,335297,391107,7010,1979092,1675193,0,0
2,64M,0,30.98796225,327080,393469,6934,1993995,1690022,0,0
1,64M,1,27.88984875,279622,354413,7053,1786355,1475423,0,1473983
2,64M,1,35.35720700,358194,408474,7000,2070567,1742351,0,1740650
3,64M,1,39.69226200,413014,449250,6933,2278293,1924860,0,1922981
1,4G,0,0.20834200,0,454481,6976,2325906,1986649,0,0
2,4G,0,0.21441050,0,482847,6902,2460671,2102924,0,0
1,4G,1,0.21821125,0,419710,7034,2116599,1779877,0,1778139
2,4G,1,0.21961200,0,412616,7024,2098922,1768356,0,1766630
3,4G,1,0.31641075,0,488896,7053,2489679,2114897,0,2112832
