iter,llt_s,readers,innodb_hll,cache_live_versions,ratio,chain_max
1,30,0,693680,741116,0.9,2000
2,30,0,708440,764080,0.9,2000
1,15,8,142030,6756,21.0,82
2,15,8,123025,6792,18.1,82
3,15,8,132595,6980,19.0,81
4,15,8,137094,7040,19.5,82
5,15,8,138149,6841,20.2,82
1,30,8,281897,6957,40.5,81
2,30,8,285979,6967,41.0,83
3,30,8,269589,7111,37.9,81
4,30,8,284715,6916,41.2,82
5,30,8,237835,7179,33.1,84
1,60,8,581598,7151,81.3,82
2,60,8,579777,7076,81.9,83
3,60,8,570800,7050,81.0,82
4,60,8,595495,7136,83.4,83
5,60,8,610889,6972,87.6,83
