iter,bp,mode,deep1_lat_s,phys_reads,consult_calls,hit,hit_pct,construct_BAD,served,innodb_hll
1,4G,0,0.24392175,0,2000,1988,99.4,0,0,91872
2,4G,0,0.23535125,0,2000,1998,99.9,0,0,90291
3,4G,0,0.22390900,0,2000,1992,99.6,0,0,95184
1,4G,1,0.07990775,0,2000,2000,100.0,0,1999,93516
2,4G,1,0.09191050,0,2000,1996,99.8,0,1995,91852
3,4G,1,0.09563100,0,2000,1994,99.7,0,1993,90048
1,256M,0,0.28453675,0,2000,1994,99.7,0,0,89394
2,256M,0,0.27345025,0,2000,1996,99.8,0,0,88700
3,256M,0,0.28246650,0,2000,1998,99.9,0,0,88209
1,256M,1,0.08128350,0,2000,1996,99.8,0,1995,86182
2,256M,1,0.08608950,0,2000,2000,100.0,0,1999,88442
3,256M,1,0.09239425,0,2000,1992,99.6,0,1991,86585
1,64M,0,3.65992825,17279,2000,982,49.1,0,0,78523
2,64M,0,4.22538550,31370,2000,0,0.0,0,0,80759
3,64M,0,4.52741300,39621,2000,0,0.0,0,0,80257
1,64M,1,1.99671300,15396,2000,1308,65.4,0,1307,78867
2,64M,1,4.91117350,44467,2000,0,0.0,0,0,80968
3,64M,1,3.13863275,18660,2000,1310,65.5,0,1309,78857
